Response	Gene_ENSEMBL_ID	quantitative_sorting_score	visualization_score	baseline_score	Percent_appearing_in_restart_set
Doxorubicin	ENSG00000101224	12511.03	0.79318261	-0.00224368	0.0
Doxorubicin	ENSG00000136888	12510.26	0.79313079	-0.03965029	0.0
Doxorubicin	ENSG00000083223	12503.3	0.79266235	-0.06517106	0.0
Doxorubicin	ENSG00000197568	12502.13	0.7925836	-0.05592436	0.0
Doxorubicin	ENSG00000166133	12500.93	0.79250284	-0.07477183	0.0
Doxorubicin	ENSG00000139178	12500.85	0.79249745	-0.04332833	0.0
Doxorubicin	ENSG00000079332	12499.15	0.79238304	-0.05084658	0.0
Doxorubicin	ENSG00000132952	12498.46	0.7923366	-0.0633221	0.0
Doxorubicin	ENSG00000147383	12497.33	0.79226054	0.06960837	0.0
Doxorubicin	ENSG00000152684	12493.04	0.79197181	0.02082065	0.0
Doxorubicin	ENSG00000108830	12492.78	0.79195431	-0.05342526	0.0
Doxorubicin	ENSG00000164879	12488.38	0.79165817	0.03882693	0.0
Doxorubicin	ENSG00000107854	12487.85	0.7916225	-0.11095525	0.04
Doxorubicin	ENSG00000149809	12487.06	0.79156933	0.03388264	0.0
Doxorubicin	ENSG00000105520	12484.69	0.79140982	0.10173792	0.0
Doxorubicin	ENSG00000003987	12483.5	0.79132972	-0.0150456	0.0
Doxorubicin	ENSG00000079215	12483.32	0.79131761	-0.05288377	0.0
Doxorubicin	ENSG00000167130	12482.0	0.79122877	0.01445403	0.0
Doxorubicin	ENSG00000085760	12479.88	0.79108608	-0.04360119	0.0
Doxorubicin	ENSG00000072133	12474.2	0.79070379	0.0584308	0.0
Doxorubicin	ENSG00000166233	12473.3	0.79064322	-0.08303344	0.0
Doxorubicin	ENSG00000110171	12473.03	0.79062505	0.0853067	0.0
Doxorubicin	ENSG00000122042	12468.52	0.79032151	0.01525423	0.0
Doxorubicin	ENSG00000168612	12468.52	0.79032151	-0.07262752	0.0
Doxorubicin	ENSG00000164823	12468.52	0.79032151	-0.04206507	0.0
Doxorubicin	ENSG00000138604	12468.52	0.79032151	-0.05103253	0.0
Doxorubicin	ENSG00000006576	12468.52	0.79032151	-0.01612964	0.0
Doxorubicin	ENSG00000138777	12467.86	0.79027709	-0.07147232	0.0
Doxorubicin	ENSG00000175550	12467.34	0.79024209	-0.06285308	0.0
